vore,sleep_total,bodywt
carni,12.1,50
omni,17,0.48
herbi,14.4,1.35
omni,14.9,0.019
herbi,4,600
herbi,14.4,3.85
carni,8.7,20.49
carni,10.1,14
herbi,3,14.8
herbi,5.3,33.5
herbi,9.4,0.728
omni,10,4.75
herbi,12.5,0.42
omni,10.3,0.06
omni,8.3,1
omni,9.1,0.005
carni,17.4,3.5
herbi,5.3,2.95
omni,18,1.7
herbi,3.9,2547
herbi,2.9,521
herbi,3.1,187
omni,10.1,0.77
omni,10.9,10
herbi,14.9,0.071
carni,12.5,3.3
omni,9.8,0.2
herbi,1.9,899.995
carni,2.7,800
carni,6.2,85
herbi,6.3,2.625
omni,8,62
herbi,9.5,1.67
herbi,3.3,6654
carni,19.4,0.37
omni,10.1,6.8
herbi,14.2,0.053
herbi,14.3,0.12
herbi,12.8,0.035
herbi,12.5,0.022
herbi,14.6,0.266
carni,11,1.4
herbi,7.7,0.21
carni,14.5,0.028
herbi,8.4,2.5
herbi,3.8,55.5
omni,9.7,52.2
carni,15.8,162.564
carni,10.4,100
carni,13.5,161.499
omni,9.4,25.235
omni,11,1.1
carni,3.5,86
carni,5.6,53.18
herbi,11.1,1.1
herbi,13,0.32
omni,8.7,0.044
omni,9.6,0.743
herbi,11.3,0.148
herbi,16.6,0.92
herbi,13.8,0.101
herbi,15.9,0.205
omni,9.1,86.25
herbi,15.8,0.112
herbi,4.4,207.501
omni,15.6,0.9
omni,8.9,0.104
carni,5.2,173.33
carni,6.3,2
carni,12.5,3.38
carni,9.8,4.23
