ct_1,ct_2,ct_3,ct_4,ct_6,ct_12,ct_13,ct_15,ct_16,ct_17,ct_19,ct_20,ct_22,ct_25,ct_23,ct_29,ct_27,ct_31,ct_32,ct_33,ct_36,ct_37,ct_38,srq_1,srq_2,srq_3,srq_4,srq_5,srq_6,srq_7,srq_8,srq_9,srq_10,srq_11,srq_12,srq_13,srq_14,srq_15,srq_16,srq_17,srq_18,srq_19,srq_20,gen,raca,idade,estado_civil,escol,renda_familiar,depend_renda,contrato
3,3,3,3,2,5,5,5,4,5,5,5,5,5,4,3,3,4,3,3,3,3,3,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,Feminino,Parda,41,Casado,Doutorado,17880,3,Concursado
2,4,1,3,1,4,4,5,4,5,3,4,4,3,5,4,4,4,4,3,1,4,4,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,Masculino,Branca,39,Solteiro,Doutorado,13000,2,Concursado
3,3,3,3,3,3,4,4,4,4,3,4,4,5,3,3,3,3,3,3,2,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,45,Divorciado,Doutorado,8000,11,Concursado
3,4,3,3,1,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Masculino,Parda,32,Solteiro,Doutorado,9000,1,Concursado
2,4,4,2,2,5,5,4,3,4,4,4,4,4,4,4,4,4,4,2,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Feminino,Parda,48,Casado,Doutorado,30000,5,Concursado
2,2,3,4,1,4,5,5,5,5,5,5,5,5,3,4,3,2,1,3,1,3,4,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,Feminino,Branca,44,União estável,Doutorado,14000,4,Concursado
2,4,4,2,2,5,5,4,3,4,4,4,4,4,4,4,4,4,4,2,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Feminino,Parda,48,Casado,Doutorado,30000,5,Concursado
3,3,2,3,2,2,3,4,3,3,4,2,2,3,5,4,3,3,4,2,1,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Masculino,Parda,66,Casado,Doutorado,33376,5,Concursado
2,2,3,3,1,1,5,1,2,3,5,5,1,4,2,3,5,5,5,5,1,5,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,32,Casado,Doutorado,13000,2,Concursado
1,1,4,2,2,5,5,5,4,5,5,5,2,5,5,5,1,5,5,5,1,5,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,Masculino,Branca,33,Casado,Doutorado,10000,3,Concursado
3,2,3,1,1,3,2,3,2,3,3,3,2,3,5,5,2,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Amarela,42,Casado,Mestrado,14000,5,Concursado
2,1,1,1,1,4,4,4,3,4,4,4,3,4,2,4,4,4,4,4,2,5,2,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,Masculino,Branca,49,Solteiro,Doutorado,15000,2,Concursado
4,5,5,5,4,1,5,5,4,4,5,5,4,5,5,5,5,4,5,5,1,1,2,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,Masculino,Branca,41,Casado,Doutorado,20000,4,Concursado
1,1,3,1,1,3,4,4,3,4,1,5,3,4,5,4,4,3,3,2,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Masculino,Branca,34,Solteiro,Doutorado,35000,3,Concursado
2,2,1,2,1,2,3,3,3,3,3,3,5,2,2,2,2,2,1,1,5,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,58,União estável,Doutorado,25000,6,Concursado
2,2,3,3,1,4,5,4,4,4,5,4,4,5,3,3,4,3,3,2,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Branca,48,Casado,Doutorado,11000,4,Concursado
3,3,1,2,1,2,2,5,4,4,2,3,1,3,5,5,5,5,5,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,74,União estável,Doutorado,19000,4,Concursado
2,2,2,2,1,2,1,2,3,3,2,4,2,3,4,3,3,2,1,1,1,3,2,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,Feminino,Branca,32,União estável,Doutorado,8000,2,Substituto ou temporário
4,4,4,3,3,4,4,4,5,4,3,5,3,5,3,3,5,5,5,5,2,3,4,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,Masculino,Branca,41,União estável,Doutorado,14000,3,Concursado
2,3,2,2,1,3,4,2,3,4,4,3,3,3,3,3,3,3,3,2,1,3,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Parda,43,Casado,Doutorado,13000,5,Concursado
5,4,5,4,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4,2,3,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Masculino,Branca,59,Divorciado,Doutorado,5900,2,Concursado
2,2,3,3,1,4,4,4,4,3,3,4,3,4,5,5,2,3,1,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Parda,32,União estável,Doutorado,18000,1,Concursado
3,3,3,4,4,5,5,5,4,5,5,4,4,4,5,4,3,4,4,3,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,43,Casado,Doutorado,11920,6,Concursado
3,3,3,3,1,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,2,3,2,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,Masculino,Branca,56,Casado,Doutorado,30000,2,Concursado
4,3,3,4,1,3,3,5,5,5,5,3,3,5,5,4,2,2,4,4,1,2,3,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,Feminino,Branca,29,Solteiro,Doutorado,7000,2,Concursado
2,4,4,3,1,5,5,5,5,5,4,3,3,4,4,5,3,4,2,3,4,1,2,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Feminino,Parda,27,Solteiro,Mestrado,5300,2,Substituto ou temporário
2,2,3,3,4,4,3,4,4,3,3,4,4,4,5,4,3,4,3,2,1,1,3,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Masculino,Parda,35,Casado,Doutorado,13000,2,Concursado
2,4,5,2,3,4,4,4,4,3,4,4,2,4,5,5,3,3,3,3,2,3,2,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,Masculino,Branca,27,Solteiro,Mestrado,6000,3,Substituto ou temporário
1,1,2,1,4,1,5,4,5,2,2,5,4,3,2,5,5,4,2,2,2,4,4,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,Masculino,Branca,44,Casado,Doutorado,13000,3,Concursado
2,2,3,2,2,3,3,3,2,4,4,4,3,3,4,5,2,2,2,3,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Feminino,Branca,37,Casado,Doutorado,12000,4,Concursado
3,3,3,3,3,2,3,4,4,3,2,2,2,3,4,4,3,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,58,União estável,Doutorado,18000,5,Concursado
4,3,2,2,5,2,2,4,2,4,3,2,2,3,3,4,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,Feminino,Branca,50,Casado,Mestrado,12000,4,Concursado
4,4,2,5,2,4,5,5,4,3,4,4,4,4,4,3,2,2,2,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Indígena,54,Casado,Doutorado,12000,6,Concursado
1,1,1,1,1,2,4,4,3,4,4,4,1,3,4,5,3,2,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,54,Casado,Doutorado,20000,4,Concursado
3,3,1,4,1,3,5,5,3,5,4,3,3,5,4,3,2,1,3,3,1,2,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,Masculino,Parda,61,Casado,Graduação,4500,3,Concursado
3,3,4,3,2,2,5,5,3,5,5,5,5,5,5,5,4,3,3,5,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Feminino,Branca,64,Casado,Doutorado,25000,5,Concursado
1,2,1,1,1,1,5,3,4,1,2,3,1,4,5,5,3,1,1,2,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,50,Casado,Doutorado,13000,2,Concursado
2,2,3,3,3,4,5,4,5,4,4,4,3,3,3,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,Masculino,Branca,39,Solteiro,Doutorado,10000,2,Concursado
2,2,3,3,1,4,4,4,4,3,4,3,2,3,4,4,2,2,1,2,1,2,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,Feminino,Parda,48,Casado,Doutorado,16000,4,Concursado
3,3,3,2,1,4,5,5,4,5,5,2,5,5,5,5,2,3,3,3,1,5,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,Feminino,Amarela,38,Casado,Doutorado,12000,2,Concursado
1,1,1,2,2,2,3,4,3,1,2,2,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Parda,55,Casado,Doutorado,7000,4,Concursado
3,3,3,4,1,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,4,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,Feminino,Preta,46,Solteiro,Doutorado,12000,3,Concursado
3,3,3,4,1,3,4,4,4,3,3,2,4,4,5,3,5,4,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Masculino,Branca,48,Casado,Doutorado,20000,6,Concursado
3,2,2,2,2,1,3,4,3,4,5,5,5,4,4,4,4,3,4,3,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,Feminino,Indígena,46,Casado,Doutorado,12000,3,Concursado
3,3,4,4,3,5,5,5,5,4,5,3,5,5,5,5,2,2,2,2,2,3,2,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,Feminino,Parda,29,Casado,Mestrado,18000,11,Substituto ou temporário
5,5,4,4,2,3,3,3,3,3,3,2,3,3,4,5,3,3,3,3,4,4,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Feminino,Branca,42,Casado,Doutorado,25000,4,Concursado
3,4,3,2,3,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,2,5,4,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,Masculino,Branca,60,Casado,Doutorado,8000,3,Concursado
2,3,4,3,3,3,4,5,3,4,5,4,4,4,4,4,3,3,3,3,1,3,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Masculino,Branca,45,Casado,Doutorado,24000,4,Concursado
2,4,3,3,1,4,4,4,3,3,4,3,3,3,4,4,4,3,3,4,2,2,4,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,Feminino,Parda,46,Divorciado,Doutorado,14000,1,Concursado
3,3,3,3,3,4,5,5,5,5,5,5,3,4,3,4,2,3,2,2,2,2,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Feminino,Branca,39,Casado,Doutorado,15000,4,Concursado
3,4,2,3,3,5,5,4,4,3,3,5,4,2,1,3,3,5,5,3,1,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Feminino,Branca,46,Casado,Doutorado,16000,6,Concursado
3,2,3,3,1,5,4,5,3,4,5,3,3,2,5,5,3,5,5,5,1,5,2,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,Masculino,Branca,43,União estável,Doutorado,17000,6,Concursado
3,3,4,3,1,5,5,5,5,5,3,4,1,5,4,4,2,3,3,3,1,1,2,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,Feminino,Parda,30,Casado,Doutorado,5000,3,Substituto ou temporário
3,3,4,2,2,3,4,4,4,4,4,3,3,3,5,4,4,3,4,4,3,1,4,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,Masculino,Parda,52,Casado,Doutorado,30000,5,Concursado
2,3,1,1,1,2,3,4,3,4,4,5,4,4,2,2,3,2,2,4,3,4,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Feminino,Parda,53,Solteiro,Doutorado,20000,3,Concursado
3,3,4,3,1,4,4,5,5,4,4,5,4,5,5,5,5,4,4,4,2,4,2,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,Masculino,Branca,35,Solteiro,Doutorado,7500,2,Concursado
4,3,2,3,2,5,5,5,3,4,4,5,4,2,4,5,3,3,3,3,2,4,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Feminino,Branca,45,Divorciado,Doutorado,12000,3,Concursado
2,2,3,2,1,1,5,3,4,3,1,2,3,4,4,5,4,4,3,2,2,3,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,Masculino,Branca,40,Casado,Mestrado,40000,4,Concursado
2,2,2,2,1,3,3,3,4,3,2,3,2,2,3,4,1,2,2,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Masculino,Parda,54,Casado,Doutorado,30000,5,Concursado
2,2,3,3,1,4,4,4,4,3,4,3,2,3,4,4,2,2,1,2,1,2,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,Feminino,Parda,48,Casado,Doutorado,16000,4,Concursado
2,2,3,2,1,5,4,5,4,4,3,4,4,4,4,4,3,3,4,4,2,2,3,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,Masculino,Parda,42,Casado,Doutorado,23000,2,Concursado
